zpid,street,city,state,zipcode,bedroom,bathroom,sqft,zestimate,cluster,zestimate_norm
67716829,2041 Echo Lake Dr, Dallas,TX,75253,3,2.0,1493,110917,1,0.31294870149
69670635,136 Triumph Rd, Dallas,TX,75241,3,3.0,2080,133439,1,0.376493790656
26692589,2307 Kirby St, Dallas,TX,75204,2,2.0,1677,285914,3,0.806697035061
26700808,611 Tenison Memorial Dr, Dallas,TX,75223,3,2.0,1788,374055,0,1.05538399466
26853111,8620 Graywood Dr, Dallas,TX,75243,3,2.0,1376,193652,1,0.546382808235
2104729807,4130 Newton Ave APT E, Dallas,TX,75219,1,1.0,947,253876,3,0.716302861955
26707574,6912 Charade Dr, Dallas,TX,75214,4,3.0,2602,577606,4,1.62969650886
26775854,1209 Grinnell St, Dallas,TX,75216,3,2.0,1392,68311,1,0.192737260722
61871475,3505 Turtle Creek Blvd APT 6G, Dallas,TX,75219,2,2.0,1941,834068,4,2.35329568555
26717485,1126 N Clinton Ave, Dallas,TX,75208,4,3.0,2913,596236,4,1.68226044684
26756251,6530 Tulip Ln, Dallas,TX,75230,4,5.0,5402,1479027,2,4.17302648935
26731369,7307 Kaywood Dr, Dallas,TX,75209,2,1.0,1013,172102,1,0.485580185399
26765960,3025 Modree Ave, Dallas,TX,75216,3,2.0,1588,52190,1,0.147252384493
2099169315,6050 Melody Ln APT 222, Dallas,TX,75231,1,1.0,500,200711,1,0.566299546731
2109337947,6019 Ridgecrest Rd, Dallas,TX,75231,2,2.1,1173,396681,0,1.11922251644
2097557097,1815 Browder St # 5, Dallas,TX,75215,3,4.0,2167,396681,0,1.11922251644
2099052500,1815 Browder St # 3, Dallas,TX,75215,3,4.0,2167,396681,0,1.11922251644
2097557099,1815 Browder St # 2, Dallas,TX,75215,3,4.0,2167,396681,0,1.11922251644
2097557098,1815 Browder St # 4, Dallas,TX,75215,3,4.0,2167,396681,0,1.11922251644
26884333,9640 Oakwood Dr, Dallas,TX,75217,3,2.0,1344,119883,1,0.338245978351
2104420717,2313 N Fitzhugh Ave, Dallas,TX,75204,0,0.0,0,396681,0,1.11922251644
67962008,9006 Rockbrook Dr, Dallas,TX,75220,5,6.0,6181,1770351,2,4.99498766313
26809542,11531 Cromwell Cir, Dallas,TX,75229,4,3.0,2212,342971,3,0.967681501472
26733810,5330 Drane Dr, Dallas,TX,75209,4,7.0,7033,2720133,2,7.67476662938
26701810,2417 Brendenwood Dr, Dallas,TX,75214,0,0.0,0,1088285,2,3.0705606679
26683477,3306 Dallas St, Dallas,TX,75210,2,1.0,744,71379,1,0.201393522757
26686416,2701 Dathe St, Dallas,TX,75215,3,2.0,1850,55542,1,0.156709943274
84004075,2200 Victory Ave APT 1006, Dallas,TX,75219,1,2.0,1212,474426,0,1.33857750077
2137749193,4423 Wahoo St, Dallas,TX,75210,3,1.0,912,175646,1,0.495579465924
26683476,3310 Dallas St, Dallas,TX,75210,2,1.0,836,70524,1,0.198981168116
69677098,1122 Jackson St APT 512, Dallas,TX,75202,1,1.0,1097,201155,1,0.567552278264
67964553,4108 Office Pkwy APT 223, Dallas,TX,75204,0,1.0,738,143327,1,0.404392460475
26627587,4748 Old Bent Tree Ln APT 1901, Dallas,TX,75287,1,2.0,887,187018,1,0.52766519339
26807246,3646 Timberview Rd, Dallas,TX,75229,4,4.0,2594,429579,0,1.21204315152
2097563570,8109A Skillman St # 1003, Dallas,TX,75231,2,1.0,914,396681,0,1.11922251644
26710587,1031 N Madison Ave, Dallas,TX,75208,3,2.0,2102,342546,3,0.96648237782
2097564951,5300I Keller Springs Rd # 1036I, Dallas,TX,75248,2,1.0,836,396681,0,1.11922251644
96515030,2300 Wolf St UNIT 12A, Dallas,TX,75201,3,4.0,3948,975011,4,2.75096176771
69675225,11108 Manorview Cir, Dallas,TX,75228,4,3.0,4274,361429,3,1.01976014705
61869881,4241 Buena Vista St APT 15, Dallas,TX,75205,1,1.0,645,181697,1,0.512652165265
26880360,4108 Echo Glen Dr, Dallas,TX,75244,4,3.0,2474,458877,0,1.29470650391
26586590,5714 Buffridge Trl, Dallas,TX,75252,5,4.0,3419,463560,0,1.30791943582
26678174,4227 Munger Ave, Dallas,TX,75204,2,1.0,1044,196982,1,0.555778294733
26739622,8602 Angora St, Dallas,TX,75218,3,3.0,2395,458330,0,1.29316316123
26881419,4716 Twin Post Rd, Dallas,TX,75244,5,4.0,3729,755624,4,2.13196849549
26841022,2423 Healey Dr, Dallas,TX,75228,3,1.0,900,88843,1,0.250667629728
80242210,222 Creek Cove Dr, Dallas,TX,75217,3,3.0,1499,78024,1,0.220142173743
26785743,5034 Menefee Dr, Dallas,TX,75227,3,2.0,1997,212596,1,0.599832686982
26844145,12210 Galva Dr, Dallas,TX,75243,4,2.0,1420,101134,1,0.28534628575
26892127,7211 Chinaberry Rd, Dallas,TX,75249,3,2.0,1384,101140,1,0.285363214554
26805629,3711 Crown Shore Dr, Dallas,TX,75244,3,2.0,1802,297935,3,0.840613894881
26876329,6007 Davenport Rd, Dallas,TX,75248,4,2.0,2157,280102,3,0.790298666433
26915577,7419 Saddleridge Dr, Dallas,TX,75249,3,2.0,1703,163485,1,0.461267600666
26865633,11311 Audelia Rd APT 125, Dallas,TX,75243,3,2.0,1255,82714,1,0.233374855929
53390619,3400 Welborn St APT 102, Dallas,TX,75219,1,1.0,924,226052,1,0.637798352545
26840661,2338 Crest Ridge Dr, Dallas,TX,75228,3,2.0,1540,169005,1,0.476842100808
67965127,3225 Turtle Creek Blvd APT 220, Dallas,TX,75219,2,2.0,1154,287803,3,0.812026787012
26792580,9865 Williamsburg Rd, Dallas,TX,75220,3,2.0,1600,387148,0,1.09232546755
26739749,8635 Diceman Dr, Dallas,TX,75218,3,3.0,1975,457322,0,1.29031912207
26805804,4008 Allencrest Ln, Dallas,TX,75244,4,4.0,2965,529250,4,1.49326163044
26846981,9051 Fringewood Dr, Dallas,TX,75228,3,2.0,1927,283193,3,0.799019822219
26755426,6815 Stichter Ave, Dallas,TX,75230,3,2.0,1910,704211,4,1.98690839119
26899320,13217 Emily Rd APT 3208C, Dallas,TX,75240,1,1.0,667,78548,1,0.22162062267
55171256,2604 Daybreak Dr, Dallas,TX,75287,3,2.0,1625,233604,3,0.659106074478
26838998,7146 Grand Oaks Rd, Dallas,TX,75230,4,3.0,3109,691464,4,1.95094314602
26743874,11317 Sinclair Ave, Dallas,TX,75218,3,2.0,1476,237411,3,0.669847400935
53069975,7018 Lattimore Dr, Dallas,TX,75252,4,3.0,3131,447933,0,1.26382836449
26690765,5327 Richard Ave, Dallas,TX,75206,9,2.0,4018,367372,0,1.03652812791
26875939,6255 Southpoint Dr, Dallas,TX,75248,2,2.0,1784,214985,1,0.606573172641
26694147,6126 Llano Ave, Dallas,TX,75214,2,2.0,1302,396681,0,1.11922251644
26793419,7244 Eccles Dr, Dallas,TX,75227,4,2.0,3250,172019,1,0.485346003603
26711424,1106 E Waco Ave, Dallas,TX,75216,3,1.0,1132,63846,1,0.180139408705
26767677,2624 Kellogg Ave, Dallas,TX,75216,3,2.0,1261,92676,1,0.261482314337
26739127,7510 Holly Hill Dr APT 116, Dallas,TX,75231,2,3.0,1177,96903,1,0.273408657108
26724410,1531 Exeter Ave, Dallas,TX,75216,2,1.0,918,80133,1,0.226092648526
26909206,3339 Wilbarger Dr, Dallas,TX,75227,2,2.0,887,75113,1,0.211928882092
84005042,3713 Commerce St, Dallas,TX,75226,2,3.0,2223,398390,0,1.12404440425
26842520,3123 Santa Teresa Ave, Dallas,TX,75228,3,2.0,1147,154360,1,0.435521710486
2097577074,2515 Welborn St APT H, Dallas,TX,75219,2,3.0,1713,396681,0,1.11922251644
26897701,909 Liberty St, Dallas,TX,75204,3,3.0,2078,348794,3,0.984110906241
96533989,8766 Timber Falls Dr, Dallas,TX,75249,4,3.0,2477,212174,1,0.598642027732
26740912,8906 Redondo Dr, Dallas,TX,75218,2,1.0,1004,241552,3,0.681531097509
2097577891,2025 Summit Ave # A-B, Dallas,TX,75206,2,2.0,1635,396681,0,1.11922251644
26875823,16802 Chepstow Ct, Dallas,TX,75248,4,4.0,2980,549912,4,1.55155879021
96523794,2234 Wilhurt Ave, Dallas,TX,75216,0,0.0,0,396681,0,1.11922251644
26813055,3019 Townsend Dr, Dallas,TX,75229,4,2.0,1506,180072,1,0.508067280712
26882268,9322 Chimney Sweep Ln, Dallas,TX,75243,3,2.0,1742,148243,1,0.418262794297
26820879,5029 Veterans Dr, Dallas,TX,75241,0,0.0,0,396681,0,1.11922251644
96517651,4414 Hamilton Ave, Dallas,TX,75210,0,0.0,0,396681,0,1.11922251644
26781866,2255 Myrtlewood Dr, Dallas,TX,75232,3,1.0,1092,101264,1,0.285713076514
26826225,1347 Acapulco Dr, Dallas,TX,75232,4,4.0,3440,248849,3,0.70211934525
26641687,6031 Homestead Ct, Dallas,TX,75252,3,3.0,1910,247823,3,0.69922451968
26742419,1257 Centerville Rd, Dallas,TX,75218,3,2.0,1021,164706,1,0.464712612383
26677848,1520 Spenwick Ter, Dallas,TX,75204,3,3.0,2047,371337,0,1.04771524622
26847397,1528 Mapleton Dr, Dallas,TX,75228,4,2.0,2018,222776,1,0.628555225287
26730975,6555 Ellsworth Ave, Dallas,TX,75214,4,5.0,3815,1191091,2,3.36062444717
2097579535,4303 Buena Vista St APT 306, Dallas,TX,75205,2,1.0,1074,396681,0,1.11922251644
69676705,4317 Cedar Springs Rd APT B, Dallas,TX,75219,2,3.0,1587,354093,3,0.999061862084
26723520,914 Nolte Dr, Dallas,TX,75208,3,2.0,1232,164919,1,0.465313584942
69677134,1122 Jackson St APT 715, Dallas,TX,75202,1,1.0,971,205877,1,0.580875247407
26804269,4729 Melissa Ln, Dallas,TX,75229,4,4.0,3749,1297847,2,3.66183302274
26882144,9202 Emberglow Ln, Dallas,TX,75243,4,3.0,2171,150086,1,0.423462758746
26805649,3910 Clear Cove Ln, Dallas,TX,75244,4,3.0,1823,287214,3,0.810364942703
2097579533,5325-C Bent Tree Forest Dr # 2232C, Dallas,TX,75248,2,3.0,1324,396681,0,1.11922251644
26739317,8522 Park Ln APT 6, Dallas,TX,75231,3,3.0,2120,163663,1,0.461769821867
26690899,5511 Richmond Ave, Dallas,TX,75206,3,2.0,1592,343333,3,0.968702872677
26732436,4959 Dupont Dr, Dallas,TX,75216,3,1.0,1422,88118,1,0.24862206585
53081014,17490 Meandering Way APT 903, Dallas,TX,75252,2,2.0,955,166049,1,0.468501843124
26859172,11105 Carissa Dr, Dallas,TX,75218,4,3.0,2216,409509,0,1.15541630046
26869444,9451 Timberleaf Dr, Dallas,TX,75243,3,2.5,1880,221203,1,0.62411705704
26870770,6807 Cliffbrook Dr, Dallas,TX,75254,3,3.0,3604,717070,4,2.0231896407
26785381,5824 Twineing St, Dallas,TX,75227,3,2.0,1970,196735,1,0.555081392281
26678416,4915 Junius St, Dallas,TX,75214,3,3.0,2972,523596,4,1.47730905367
26892302,7125 Pineberry Rd, Dallas,TX,75249,3,2.0,1256,94899,1,0.267754436405
26712818,903 N Edgefield Ave, Dallas,TX,75208,3,1.0,1457,354758,3,1.00093813792
26771725,654 Monssen Dr, Dallas,TX,75224,3,3.0,2248,425566,0,1.20072060278
26712713,902 N Edgefield Ave, Dallas,TX,75208,3,2.0,1374,347742,3,0.981142722519
26701231,7043 Casa Loma Ave, Dallas,TX,75214,2,2.0,1423,380380,0,1.07322977607
26741649,9907 Angora St, Dallas,TX,75218,4,2.0,2046,453975,0,1.28087567063
26808938,3565 Waldorf Dr, Dallas,TX,75229,3,2.0,1774,410054,0,1.15695400021
55826039,2319 Worthington St, Dallas,TX,75204,3,3.5,2630,631335,4,1.7812911317
2097585110,2213 Chunk Ct, Dallas,TX,75206,3,3.0,2765,396681,0,1.11922251644
26848853,6228 Shadycliff Dr, Dallas,TX,75240,4,4.0,3234,520625,4,1.46892647397
27330564,2611 Kingsridge Dr, Dallas,TX,75287,3,2.0,1722,232189,3,0.655113698083
26914728,6107 Crystalwood Ct, Dallas,TX,75249,4,3.0,3330,240321,3,0.678057871118
26761828,9745 Wisterwood Dr, Dallas,TX,75238,3,2.0,2200,578176,4,1.63130474528
26687035,3905 Latimer St, Dallas,TX,75215,0,0.0,0,396681,0,1.11922251644
26780240,2626 Deep Hill Cir, Dallas,TX,75233,5,4.0,3441,285975,3,0.806869144573
84000216,3200 Ross Ave APT 10, Dallas,TX,75204,2,3.0,2042,353461,3,0.997278694676
26786849,511 Kirkwood Dr, Dallas,TX,75218,3,1.0,1257,297877,3,0.84045024977
26869354,9651 Timberleaf Dr, Dallas,TX,75243,4,3.0,2356,318326,3,0.89814643698
26743356,10551 Silverock Dr, Dallas,TX,75218,4,3.0,2358,481783,0,1.35933503656
26738262,5410 Stanford Ave, Dallas,TX,75209,0,0.0,0,396681,0,1.11922251644
2097585835,3208A Cole Ave # 1209A, Dallas,TX,75204,2,2.0,1048,396681,0,1.11922251644
27327906,2614 Seedling Ln, Dallas,TX,75287,3,2.0,2273,237632,3,0.670470945234
2097585896,19014 Tupelo Ln, Dallas,TX,75287,3,2.0,1282,396681,0,1.11922251644
27325046,18819 Platte River Way, Dallas,TX,75287,3,2.0,1639,209267,1,0.590440021951
26748782,6127 Town Hill Ln, Dallas,TX,75214,2,2.0,2264,456687,0,1.28852749026
84006447,2555 N Pearl St APT 605, Dallas,TX,75201,1,2.0,1458,1095514,2,3.09095705586
67965161,3225 Turtle Creek Blvd APT 342, Dallas,TX,75219,2,2.0,1154,286946,3,0.809608789435
2136573613,15625 Preston Rd APT 1032, Dallas,TX,75248,2,3.0,1850,286480,3,0.808293985619
26752896,7118 Meadow Rd, Dallas,TX,75230,3,3.0,3100,524980,4,1.48121396457
26745996,10553 Shiloh Rd, Dallas,TX,75228,3,2.0,1184,104843,1,0.295811108399
26743484,11666 Saxon St, Dallas,TX,75218,2,2.0,1460,333061,3,0.93972075937
2097587047,4211 Rawlins St # 5, Dallas,TX,75219,2,3.0,1628,396681,0,1.11922251644
2097587733,735 W 10th St, Dallas,TX,75208,4,2.0,0,396681,0,1.11922251644
26709190,739 W 10th St, Dallas,TX,75208,4,2.0,0,145316,1,0.410004359167
26709410,827 W 9th St, Dallas,TX,75208,3,2.0,1714,171931,1,0.48509771447
53101405,18671 Gibbons Dr, Dallas,TX,75287,4,4.0,3216,392631,0,1.1077955734
26709411,821 W 9th St, Dallas,TX,75208,4,2.0,0,195455,1,0.551469913988
26680156,3701 Turtle Creek Blvd APT 9G, Dallas,TX,75219,1,1.0,1525,282404,3,0.796793684427
26759796,5522 Walnut Hill Ln, Dallas,TX,75229,3,3.0,2311,752943,4,2.12440414135
26745513,2523 Fenwick Dr, Dallas,TX,75228,3,1.0,1036,125280,1,0.353473438
69675393,1122 Jackson St APT 1103, Dallas,TX,75202,1,2.0,1035,225066,1,0.635016385672
2097589949,4211-5 Rawlins St # 527, Dallas,TX,75219,2,3.0,1628,396681,0,1.11922251644
26769209,716 N Boulevard Ter, Dallas,TX,75211,4,2.0,0,168017,1,0.474054491
26864473,9927 Tanglevine Dr, Dallas,TX,75238,4,3.0,2177,411696,0,1.1615868497
26824294,1162 Oxbow Ln, Dallas,TX,75241,3,2.0,1332,105013,1,0.29629075786
54023005,3003 Harbinger Ln, Dallas,TX,75287,2,1.0,819,146090,1,0.412188174948
2097591394,5311K Fleetwood Oaks Ave # 171K, Dallas,TX,75235,1,1.0,800,396681,0,1.11922251644
26913996,6827 Mountain Cedar Ln, Dallas,TX,75236,3,2.0,1424,142127,1,0.401006699574
26638056,17860 Windflower Way UNIT 1502, Dallas,TX,75252,2,3.0,1297,197243,1,0.556514697729
26695172,5610 Ridgedale Ave, Dallas,TX,75206,3,2.0,2038,546953,4,1.54321006812
26858783,12024 Loch Ness Dr, Dallas,TX,75218,4,3.0,2283,375769,0,1.06021998981
26640305,17708 Cedar Creek Canyon Dr, Dallas,TX,75252,6,7.0,8123,1714068,2,4.8361870125
26911541,10126 Lanshire Dr, Dallas,TX,75238,3,2.0,1625,363279,0,1.02497986178
26785459,5041 Urban Crest Rd, Dallas,TX,75227,4,2.0,2322,205172,1,0.578886112878
67965361,3225 Turtle Creek Blvd APT 1035, Dallas,TX,75219,1,1.0,841,231730,3,0.653818644539
96524150,5125 Miller Ave, Dallas,TX,75206,3,3.0,2483,583250,4,1.64562087096
53071863,6428 Mimms Dr, Dallas,TX,75252,4,3.0,2523,376908,0,1.0634336412
26887842,3037 San Diego Dr, Dallas,TX,75228,4,3.0,2142,170286,1,0.480456400569
26872057,7132 Roundrock Rd, Dallas,TX,75248,4,4.0,3196,496215,0,1.40005445432
26785192,5812 Banting Way, Dallas,TX,75227,3,2.0,1673,192544,1,0.543256622337
54011134,3960 Stockton Ln, Dallas,TX,75287,3,2.0,2017,274494,3,0.774475877159
26888801,6019 Black Berry Ln, Dallas,TX,75248,3,3.0,2183,393147,0,1.10925145059
69670316,6618 Tealglen Dr, Dallas,TX,75241,4,3.0,2312,168880,1,0.476489417381
26703461,6223 Mccommas Blvd, Dallas,TX,75214,4,3.0,3152,708206,4,1.99818015352
26786147,4738 Ashbrook Rd, Dallas,TX,75227,3,3.0,1938,203446,1,0.574016260117
26804941,4530 College Park Dr, Dallas,TX,75229,4,4.0,4210,991544,2,2.79760908851
2097597469,1422 Shepherd Ln, Dallas,TX,75253,0,0.0,0,396681,0,1.11922251644
26838352,7349 Royal Cir, Dallas,TX,75230,4,4.0,2770,609985,4,1.72105280235
26801926,8827 Quinn St, Dallas,TX,75217,3,2.0,1600,114528,1,0.323137020333
26879906,3865 Antigua Dr, Dallas,TX,75244,4,3.0,2655,450960,0,1.27236894637
26859534,13514 Peyton Dr, Dallas,TX,75240,4,4.0,3134,432051,0,1.21901781898
26874269,7746 El Padre Ln, Dallas,TX,75248,4,2.0,2211,319370,3,0.901092048964
26815721,547 Meadowshire Dr, Dallas,TX,75232,3,2.0,1203,85119,1,0.240160485067
26932788,5909 Luther Ln APT 900A, Dallas,TX,75225,2,2.0,1358,436141,0,1.23055762071
26702280,7210 Meadow Lake Ave, Dallas,TX,75214,3,2.0,1558,511983,0,1.44454335255
2117908336,1411 S Barry Ave, Dallas,TX,75223,2,1.0,3136,396681,0,1.11922251644
26781705,1567 Drury Dr, Dallas,TX,75232,3,2.0,1600,153012,1,0.431718372408
96531016,4610 Steel St, Dallas,TX,75219,3,4.0,2106,423017,0,1.19352868233
69675167,3536 Altura Ave, Dallas,TX,75228,3,2.0,1607,203231,1,0.573409644622
26809921,3608 Coral Gables Dr, Dallas,TX,75229,4,3.0,2537,408358,0,1.15216879147
2097601118,600 Melba St, Dallas,TX,75208,4,3.0,2311,208575,1,0.588487566498
122302922,3859 Pine Tree Ct, Dallas,TX,75206,3,3.0,2358,593230,4,1.67377911578
26708689,425 W 9th St, Dallas,TX,75208,3,2.0,1768,171406,1,0.483616444076
26910228,3212 Mapleleaf Cir, Dallas,TX,75233,3,3.0,2572,415511,0,1.1723507479
96499748,1508 Hope St, Dallas,TX,75206,2,3.0,1499,345490,3,0.974788777895
26683545,3424 Pondrom St, Dallas,TX,75215,0,0.0,0,396681,0,1.11922251644
26877592,4225 Leland College Dr, Dallas,TX,75241,3,1.0,1014,73654,1,0.207812361131
26699633,2331 Starks Ave, Dallas,TX,75215,0,0.0,0,396681,0,1.11922251644
26777504,1407 Glenfield Ave, Dallas,TX,75224,2,2.0,1836,135027,1,0.380974280914
26749962,7130 Rutgers Dr, Dallas,TX,75214,3,2.0,1587,351249,3,0.99103760875
26789263,4068 Beaver Brook Ln, Dallas,TX,75229,4,4.0,3800,787842,4,2.22287053274
26811084,10245 Carry Back Cir, Dallas,TX,75229,4,3.0,2005,327657,3,0.924473549448
2097603442,5621 La Foy Blvd, Dallas,TX,75209,3,4.0,2985,701772,4,1.98002683216
80234842,329 E Colorado Blvd APT 906, Dallas,TX,75203,1,1.0,895,171711,1,0.484476991639
26827129,4135 Drowsy Ln, Dallas,TX,75233,4,3.0,2386,179750,1,0.507158768204
26760391,5509 Southwestern Blvd, Dallas,TX,75209,3,3.0,2153,866855,4,2.44580313775
26888784,9758 Burleson Dr, Dallas,TX,75243,5,4.0,3775,393362,0,1.10985806608
67957492,8610 Quicksilver Dr, Dallas,TX,75249,4,3.0,2900,224441,1,0.633252968536
26848706,6407 Covecreek Pl, Dallas,TX,75240,4,3.0,3525,628041,4,1.77199721803
2100446081,5804 Singleton Blvd, Dallas,TX,75212,0,0.0,0,396681,0,1.11922251644
111959227,4321 Travis St, Dallas,TX,75205,3,4.0,4368,1317329,2,3.71680085095
2122379193,10650 Steppington Dr APT 130, Dallas,TX,75230,1,1.0,769,208061,1,0.587037332246
96518472,1305 S Tyler St, Dallas,TX,75224,0,0.0,0,396681,0,1.11922251644
2125735589,10650 Steppington Dr APT 128, Dallas,TX,75230,1,1.0,769,208061,1,0.587037332246
26884756,917 Thelma St, Dallas,TX,75217,3,1.0,1236,62884,1,0.17742515705
26871251,14922 Spring Creek Rd, Dallas,TX,75248,4,2.5,2295,321822,3,0.90801028707
26705342,6715 Belford Dr, Dallas,TX,75214,3,2.0,2102,562618,4,1.58740835521
26752829,7138 Glendora Ave, Dallas,TX,75230,4,3.0,2695,659543,4,1.8608790846
26869100,9107 Arbor Park Dr, Dallas,TX,75243,4,4.0,3134,424310,0,1.1971768397
26707362,6907 Santa Maria Ln, Dallas,TX,75214,3,2.0,1745,480422,0,1.3554950194
2097609433,8003 Rothington Rd # 31-37J, Dallas,TX,75227,8,12.0,0,347853,3,0.981455905402
26770553,3008 Searcy Dr, Dallas,TX,75211,0,0.0,0,94565,1,0.266812066288
26748432,5150 Amesbury Dr APT 225, Dallas,TX,75206,1,1.0,709,95205,1,0.268617805434
26678217,4327 Cabell Dr, Dallas,TX,75204,3,4.0,2535,481810,0,1.35941121618
26807069,10339 Cromwell Dr, Dallas,TX,75229,4,2.0,1954,359990,3,1.01570005544
26684602,5301 Terry St, Dallas,TX,75223,3,3.0,1456,144839,1,0.408658519209
26678313,1914 California Dr, Dallas,TX,75204,0,0.0,0,396681,0,1.11922251644
26734550,4631 Newmore Ave, Dallas,TX,75209,2,1.0,881,153476,1,0.43302753329
80233919,2341 Ben Hur St, Dallas,TX,75253,3,2.0,1125,73723,1,0.208007042383
67961690,2932 State St, Dallas,TX,75204,2,3.0,1557,464332,0,1.31009760867
26769208,720 N Boulevard Ter, Dallas,TX,75211,4,2.0,0,185469,1,0.523294740362
60347590,2828 Hood St APT 1108, Dallas,TX,75219,1,2.0,1546,458765,0,1.29439049955
53071059,6419 Barfield Dr, Dallas,TX,75252,3,2.5,2350,356790,3,1.00667135971
26898961,4800 Northway Dr APT 14A, Dallas,TX,75206,1,2.0,920,154709,1,0.436506402615
60331861,3100 Cole Ave APT 111, Dallas,TX,75204,1,1.0,675,215956,1,0.609312817503
83996766,13900 Noel Rd UNIT 21, Dallas,TX,75240,2,3.0,1613,332808,3,0.939006928113
26750789,7011 Winchester St, Dallas,TX,75231,3,2.0,1996,344313,3,0.971467910746
2097616652,763 Cameron Ct, Coppell,TX,75019,3,4.0,2581,479357,0,1.35249015661
26871265,7947 Habersham Ln, Dallas,TX,75248,5,4.0,3000,323155,3,0.911771303137
26717420,1035 N Clinton Ave, Dallas,TX,75208,2,2.0,1665,419102,0,1.18248263739
26755552,6722 Mimosa Ln, Dallas,TX,75230,2,2.0,1643,754964,4,2.130106327
26688519,4105 Marshall Dr, Dallas,TX,75210,3,1.0,636,35316,1,0.0996429432984
96498446,2232 Pine St, Dallas,TX,75215,0,0.0,0,396681,0,1.11922251644
26727830,227 S Hampton Rd, Dallas,TX,75208,3,2.0,1443,193907,1,0.547102282426
26790656,3747 Valley Ridge Rd, Dallas,TX,75220,3,2.0,1455,340839,3,0.961666132939
26879947,12461 High Meadow Dr, Dallas,TX,75244,4,2.0,2179,300157,3,0.846883195481
96498381,1615 Seevers Ave, Dallas,TX,75216,4,3.0,1882,172198,1,0.485851046271
26626189,17490 Meandering Way APT 301, Dallas,TX,75252,2,2.0,1377,173879,1,0.490593932999
26730031,1938 Newport Ave, Dallas,TX,75224,3,2.0,1718,235985,3,0.665823988398
26788894,4016 Beechwood Ln, Dallas,TX,75220,3,2.0,1791,439378,0,1.23969071074
26810487,3048 Walnut Hill Ln, Dallas,TX,75229,4,2.0,1929,209750,1,0.591802790713
26897958,4319 Cabell Dr, Dallas,TX,75204,3,3.0,1744,374694,0,1.05718691234
2117518050,3303 Southern Oaks Blvd, Dallas,TX,75216,0,0.0,0,396681,0,1.11922251644
2105851288,5200 Martel Ave, Dallas,TX,75206,1,2.0,942,177254,1,0.500116385531
26633949,4427 Creekmeadow Dr, Dallas,TX,75287,4,3.0,3127,538077,4,1.51816672333
26877258,5805 Club Oaks Plz, Dallas,TX,75248,6,9.0,7494,2452676,2,6.92014541843
26924160,5550 Spring Valley Rd APT C25, Dallas,TX,75254,2,2.0,1012,123408,1,0.348191650996
2097626663,435 W 10th St, Dallas,TX,75208,0,0.0,0,396681,0,1.11922251644
69669812,2922 Coteau Way, Dallas,TX,75227,4,4.0,2794,308003,3,0.869020428835
2113625704,10209 Scyene Rd, Dallas,TX,75227,0,0.0,0,396681,0,1.11922251644
2097628669,11655M Audelia Rd # 1302, Dallas,TX,75243,2,1.5,983,213948,1,0.60364731093
26749773,7308 Haverford Rd, Dallas,TX,75214,2,2.0,1414,320921,3,0.905468144927
2097629680,6726 Sunshade Ln, Dallas,TX,75236,4,4.0,4019,447397,0,1.26231605796
2097630168,6725 Sunshade Ln, Dallas,TX,75236,4,4.0,3023,444026,0,1.2528048913
96495919,2710 Lucky Ln, Dallas,TX,75241,0,0.0,0,396681,0,1.11922251644
26588563,18516 Bay Pines Ln, Dallas,TX,75287,4,3.0,2733,395197,0,1.11503545879
